instance,date,n_customers,gurobi_vehicles,gurobi_distance_km,gurobi_mip_gap_pct,gurobi_status,drlls_vehicles,drlls_distance_km
2018-07-20_100cust,2018-07-20,100,3,88.43,68,incumbent,1,29.56
2018-07-20_183cust,2018-07-20,183,,,,no incumbent (time limit),1,38.05
2018-07-21_100cust,2018-07-21,100,1,146.35,19,incumbent,1,98.72
2018-07-21_500cust,2018-07-21,500,,,,no incumbent (time limit),1,163.8
2018-07-21_516cust,2018-07-21,516,,,,no incumbent (time limit),1,164.93
2018-07-22_100cust,2018-07-22,100,2,281.86,60,incumbent,1,74.33
2018-07-22_500cust,2018-07-22,500,,,,no incumbent (time limit),1,178.76
2018-07-22_806cust,2018-07-22,806,,,,no incumbent (time limit),2,405.45
2018-07-23_100cust,2018-07-23,100,,,,no incumbent (time limit),1,77.98
2018-07-23_500cust,2018-07-23,500,2,110.62,54,incumbent,1,141.75
2018-07-23_1000cust,2018-07-23,1000,1,109.14,16,incumbent,2,639.7
2018-07-23_1003cust,2018-07-23,1003,,,,no incumbent (time limit),2,332.85
2018-07-24_100cust,2018-07-24,100,,,,no incumbent (time limit),1,52.62
2018-07-24_500cust,2018-07-24,500,,,,no incumbent (time limit),1,151.46
2018-07-24_1000cust,2018-07-24,1000,,,,no incumbent (time limit),2,702.93
2018-07-24_1082cust,2018-07-24,1082,1,81.67,12,incumbent,3,771.9
2018-07-25_100cust,2018-07-25,100,,,,no incumbent (time limit),1,55.76
2018-07-25_500cust,2018-07-25,500,2,90.94,53,incumbent,1,138.32
2018-07-25_881cust,2018-07-25,881,,,,no incumbent (time limit),2,447.76
2018-07-26_100cust,2018-07-26,100,,,,no incumbent (time limit),1,36.35
2018-07-26_430cust,2018-07-26,430,1,106.76,15,incumbent,1,148.22
2018-07-27_100cust,2018-07-27,100,1,82.91,12,incumbent,1,43.63
2018-07-27_500cust,2018-07-27,500,2,104.27,53,incumbent,2,219.1
2018-07-27_1000cust,2018-07-27,1000,,,,no incumbent (time limit),3,638.32
2018-07-27_1440cust,2018-07-27,1440,,,,no incumbent (time limit),4,1157.5
